-- BIOS V2.0 --
-- Compiled: May 30 2019 08:16:15 --
tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ,HardAccel,HardBrake,LaneChanL,LaneChanR,ui8LaneHole,Q
-- BIOS V2.0 --
-- Compiled: May 30 2019 08:16:15 --
tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ,HardAccel,HardBrake,LaneChanL,LaneChanR,ui8LaneHole,Q
14114,-1582,421,8289,-847.186,1187.471,7888.971,937.369,584.097,699.720,-201.714,-129.286,80.142,8.373,71.364,14.163,0,0,0,0,0,5.000
14214,-1355,517,7851,-864.343,1178.771,7890.429,935.514,589.459,699.533,-171.571,-87.000,14.575,-18.553,53.616,-1.868,0,0,0,0,0,5.000
14314,-1994,-582,7486,-890.629,1151.629,7884.343,941.019,625.091,701.170,-262.858,-271.429,-60.859,55.055,356.318,16.369,0,0,0,0,0,5.000
14414,-1075,387,7207,-903.014,1141.357,7878.000,937.652,631.629,705.248,-123.857,-102.714,-63.428,-33.666,65.383,40.784,0,0,0,0,0,5.000
14514,-572,233,7567,-910.071,1130.086,7874.986,933.265,640.634,706.120,-70.571,-112.715,-30.142,-43.871,90.051,8.715,0,0,0,0,0,5.000
14614,-2465,162,8616,-944.443,1116.614,7885.543,945.513,650.853,711.574,-343.715,-134.714,105.571,122.478,102.191,54.545,0,0,0,0,0,5.000
14714,-595,1300,7539,-953.586,1124.514,7876.314,938.973,649.674,711.820,-91.428,79.000,-92.285,-65.400,-11.791,2.455,0,0,0,0,0,5.000
14814,-247,1316,9331,-952.271,1127.414,7906.271,939.896,650.069,728.098,13.143,29.000,299.570,9.234,3.950,162.780,0,0,0,0,0,5.000
14914,-383,358,7678,-939.986,1121.171,7921.957,941.635,655.309,710.982,122.857,-62.429,156.855,17.384,52.397,-171.152,0,0,0,0,0,5.000
15014,-200,460,7631,-924.543,1123.971,7913.643,944.775,652.051,710.933,154.429,28.000,-83.140,31.398,-32.579,-0.491,0,0,0,0,0,5.000
15114,-368,390,7789,-919.357,1119.200,7922.386,946.817,656.169,705.563,51.857,-47.715,87.427,20.421,41.184,-53.700,0,0,0,0,0,5.000
15214,-845,344,8530,-923.929,1108.600,7920.800,945.673,662.582,704.070,-45.715,-106.000,-15.859,-11.432,64.127,-14.937,0,0,0,0,0,5.000
15314,-1453,298,7757,-946.143,1100.629,7897.043,939.557,668.899,680.753,-222.143,-79.714,-237.568,-61.164,63.174,-233.169,0,0,0,0,0,5.000
15414,-10811,4226,14708,-1094.057,1157.900,7993.186,1499.230,756.660,1056.782,-1479.142,572.715,961.426,5596.730,877.606,3760.298,1,0,0,1,1,5.000
15514,-4701,2405,6431,-1149.257,1180.514,7979.329,1558.704,769.824,1070.724,-552.001,226.143,-138.569,594.739,131.641,139.418,0,0,0,0,0,5.000
15614,-1705,160,7926,-1161.743,1169.271,7990.643,1559.605,778.846,1065.906,-124.856,-112.428,113.145,9.008,90.222,-48.186,0,0,0,0,0,5.000
15714,-597,780,8106,-1154.314,1164.886,7998.029,1561.038,780.160,1064.888,74.285,-43.857,73.857,14.331,13.141,-10.178,0,0,0,0,0,5.000
15814,-1314,272,8441,-1158.986,1154.071,8005.029,1561.019,787.184,1066.165,-46.714,-108.143,70.000,-0.184,70.237,12.776,0,0,0,0,0,5.000
15914,708,527,8488,-1136.457,1145.714,8014.671,1576.346,790.684,1067.437,225.286,-83.572,96.426,153.269,34.998,12.714,0,0,0,0,0,5.000
16014,-885,804,8092,-1148.543,1137.829,7992.514,1571.120,791.300,1049.351,-120.857,-78.856,-221.572,-52.260,6.158,-180.857,0,0,0,0,0,5.000
16114,-862,620,8425,-1142.329,1154.300,8007.657,1571.381,768.006,1047.833,62.142,164.714,151.431,2.607,-232.935,-15.177,0,0,0,0,0,5.000
16214,-862,527,8672,-1128.743,1165.300,8010.014,1569.634,753.287,1049.139,135.858,110.000,23.569,-17.471,-147.188,13.057,0,0,0,0,0,5.000
16314,-976,768,7696,-1115.600,1149.500,8005.200,1567.004,749.848,1049.795,131.428,-158.000,-48.140,-26.299,-34.393,6.564,0,0,0,0,0,5.000
16414,-1513,726,7930,-1121.257,1116.586,8011.886,1567.714,716.403,1047.803,-56.572,-329.143,66.855,7.095,-334.456,-19.923,0,0,0,0,0,5.000
